GlobalEventID,NumMentions,EventOffSet,Country1,Country2,Medias,URLS,Articles
1103319440,2178,0.911767108,CHN,KAZ,"dailyadvance.com
weny.com
missoulian.com
idahopress.com
joplinglobe.com","https://www.joplinglobe.com/region/zelenskyy-to-attend-g7-summit-sunday-as-world-leaders-tighten-sanctions-against-russia-over-ukraine/article_03eeeeb9-5a38-50cd-a293-5f1e59b7b719.html
https://www.weny.com/story/48929048/biden-endorses-f-16-training-for-ukrainians-as-zelenskyy-set-to-take-part-in-g7-summit
https://www.dailyadvance.com/news/world/zelenskyy-to-attend-g7-summit-sunday-as-world-leaders-discuss-new-punishment-for-russia-over/article_e3f83d4e-86e1-5901-9e0a-f5a9984d10f8.html
https://missoulian.com/news/nation-world/biden-endorses-f-16-training-for-ukrainians-as-zelenskyy-is-set-to-attend-g7-summit/article_40af1125-e303-57db-a360-f18e8ea0835c.html
https://www.idahopress.com/news/world/g7-leaders-discuss-new-punishment-for-russia-over-ukraine-zelenskyy-to-attend-summit-on-sunday/article_f80a798b-2f13-57bf-ada3-703b5ab5955d.html",363
1103305117,1518,0.525171878,USA,CHN,"burnhamandhighbridgeweeklynews.co.uk
echo-news.co.uk
chesterstandard.co.uk
readingchronicle.co.uk
penarthtimes.co.uk","https://www.readingchronicle.co.uk/news/national/23532931.us-shows-support-taiwan-new-trade-agreement/
https://www.burnhamandhighbridgeweeklynews.co.uk/news/national/23532931.us-shows-support-taiwan-new-trade-agreement/
https://www.chesterstandard.co.uk/news/national/23532931.us-shows-support-taiwan-new-trade-agreement/
https://www.echo-news.co.uk/news/national/23532931.us-shows-support-taiwan-new-trade-agreement/
https://www.penarthtimes.co.uk/news/national/23532931.us-shows-support-taiwan-new-trade-agreement/",151
1102318918,1455,0.131034483,CHN,USA,nbcnews.com,https://www.nbcnews.com/news/world/china-sentences-us-citizen-life-prison-spying-charges-rcna84388,144
1103866314,1158,0.013347508,PNG,CHN,"newsday.com
washingtontimes.com
meadvilletribune.com
newspressnow.com
kdhnews.com","https://kdhnews.com/news/world/us-to-sign-new-security-pact-with-papua-new-guinea-amid-competition-with-china/article_ca4f1282-a135-589b-8fbd-8107767685d8.html
https://www.newsday.com/news/nation/us-to-sign-new-security-pact-with-papua-new-guinea-amid-competition-with-china-gxj01eco
https://www.meadvilletribune.com/cnhi_network/us-to-sign-new-security-pact-with-papua-new-guinea-amid-competition-with-china/article_8736caf2-2664-5f02-bd26-3dbe56e0f465.html
https://www.washingtontimes.com/news/2023/may/21/us-to-sign-new-security-pact-with-papua-new-guinea/
https://www.newspressnow.com/news/world_news/us-to-sign-new-security-pact-with-papua-new-guinea-amid-competition-with-china/article_7214fbbb-4488-53ee-ad19-5bbb7e9a4ac7.html",52
1105555392,1076,0.993665541,CHN,CHN,"newsandstar.co.uk
midweekherald.co.uk
malverngazette.co.uk
eastlothiancourier.com
penarthtimes.co.uk","https://www.malverngazette.co.uk/news/national/23554543.covid-lab-leak-not-ruled-says-chinese-scientist/
https://www.midweekherald.co.uk/news/national/23554543.covid-lab-leak-not-ruled-says-chinese-scientist/
https://www.eastlothiancourier.com/news/national/23554543.covid-lab-leak-not-ruled-says-chinese-scientist/
https://www.newsandstar.co.uk/news/national/23554543.covid-lab-leak-not-ruled-says-chinese-scientist/
https://www.penarthtimes.co.uk/news/national/23554543.covid-lab-leak-not-ruled-says-chinese-scientist/",151
1103864816,1057,0.464285714,CHN,SLB,"yourlocalguardian.co.uk
keighleynews.co.uk
burnhamandhighbridgeweeklynews.co.uk
echo-news.co.uk
gazette-news.co.uk","https://www.yourlocalguardian.co.uk/news/national/23537866.us-papua-new-guinea-sign-security-deal/
https://www.burnhamandhighbridgeweeklynews.co.uk/news/national/23537866.us-papua-new-guinea-sign-security-deal/
https://www.gazette-news.co.uk/news/national/23537866.us-papua-new-guinea-sign-security-deal/
https://www.echo-news.co.uk/news/national/23537866.us-papua-new-guinea-sign-security-deal/
https://www.keighleynews.co.uk/news/national/23537866.us-papua-new-guinea-sign-security-deal/",91
1103092123,1030,0.00339932,CHN,AUS,"eastlondonadvertiser.co.uk
wandsworthguardian.co.uk
stroudnewsandjournal.co.uk
irishnews.com
sloughobserver.co.uk","https://www.eastlondonadvertiser.co.uk/news/national/23530155.china-asks-australia-step-search-efforts-boat-capsizes/
https://www.irishnews.com/news/worldnews/2023/05/18/news/china_asks_australia_to_step_up_search_efforts_after_boat_capsizes-3286056/
https://www.wandsworthguardian.co.uk/news/national/23530155.china-asks-australia-step-search-efforts-boat-capsizes/
https://www.stroudnewsandjournal.co.uk/news/national/23530155.china-asks-australia-step-search-efforts-boat-capsizes/
https://www.sloughobserver.co.uk/news/national/23530155.china-asks-australia-step-search-efforts-boat-capsizes/",103
1103342311,948,0.023136022,JPN,CHN,cnn.com,"https://edition.cnn.com/2023/05/19/china/g7-summit-russia-china-agenda-intl-hnk/
https://us.cnn.com/2023/05/19/china/g7-summit-russia-china-agenda-intl-hnk/
https://us.cnn.com/europe/live-news/russia-ukraine-war-news-05-19-23/
https://www.cnn.com/2023/05/19/china/g7-summit-russia-china-agenda-intl-hnk/",5
1103341799,930,0.520292234,CHN,JPN,cnn.com,"https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-05-19-23
https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-05-19-23/
https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-05-19-23/h_82a13d593a2cec85ce015390d853c444
https://www.cnn.com/europe/live-news/russia-ukraine-war-news-05-19-23/h_6c833fe139eea6f4abf3598ab5919878",112
1103306527,868,0.898207885,CHN,KAZ,"wn.com
msn.com","https://article.wn.com/view/2023/05/19/Xi_says_China_Central_Asia_must_fully_unleash_potential/
https://www.msn.com/en-xl/news/other/xi-jinping-china-central-asia-must-unleash-potential/ar-AA1bor4U",2
